FIPS,FIPSTEXT,y17_M001_valueText,y17_M001_classRange,y17_M001_valueNumeric,y17_M002_valueText,y17_M002_classRange,y17_M002_valueNumeric,y17_M003_valueText,y17_M003_classRange,y17_M003_valueNumeric,y17_M004_valueText,y17_M004_classRange,y17_M004_valueNumeric,y17_M005_valueText,y17_M005_classRange,y17_M005_valueNumeric,y17_M006_valueText,y17_M006_classRange,y17_M006_valueNumeric,y17_M007_valueText,y17_M007_classRange,y17_M007_valueNumeric,y17_M008_valueText,y17_M008_classRange,y17_M008_valueNumeric,y17_M009_valueText,y17_M009_classRange,y17_M009_valueNumeric,y17_M010_valueText,y17_M010_classRange,y17_M010_valueNumeric,y17_M058_valueText,y17_M058_classRange,y17_M058_valueNumeric,y17_M059_valueText,y17_M059_classRange,y17_M059_valueNumeric,y17_M060_valueText,y17_M060_classRange,y17_M060_valueNumeric,y17_M061_valueText,y17_M061_classRange,y17_M061_valueNumeric,y17_M062_valueText,y17_M062_classRange,y17_M062_valueNumeric,y17_M063_valueText,y17_M063_classRange,y17_M063_valueNumeric,y17_M064_valueText,y17_M064_classRange,y17_M064_valueNumeric,y17_M065_valueText,y17_M065_classRange,y17_M065_valueNumeric,y17_M066_valueText,y17_M066_classRange,y17_M066_valueNumeric,y17_M067_valueText,y17_M067_classRange,y17_M067_valueNumeric,y17_M068_valueText,y17_M068_classRange,y17_M068_valueNumeric,y17_M069_valueText,y17_M069_classRange,y17_M069_valueNumeric,y17_M070_valueText,y17_M070_classRange,y17_M070_valueNumeric,y17_M071_valueText,y17_M071_classRange,y17_M071_valueNumeric,y17_M076_valueText,y17_M076_classRange,y17_M076_valueNumeric,y17_M077_valueText,y17_M077_classRange,y17_M077_valueNumeric,y17_M078_valueText,y17_M078_classRange,y17_M078_valueNumeric,y17_M079_valueText,y17_M079_classRange,y17_M079_valueNumeric,y17_M080_valueText,y17_M080_classRange,y17_M080_valueNumeric,y17_M081_valueText,y17_M081_classRange,y17_M081_valueNumeric,y17_M082_valueText,y17_M082_classRange,y17_M082_valueNumeric,y17_M083_valueText,y17_M083_classRange,y17_M083_valueNumeric,y17_M091_valueText,y17_M091_classRange,y17_M091_valueNumeric,y17_M092_valueText,y17_M092_classRange,y17_M092_valueNumeric,y17_M093_valueText,y17_M093_classRange,y17_M093_valueNumeric,y17_M201_valueText,y17_M201_classRange,y17_M201_valueNumeric
1047,01047,528,500 - 749,528.00,0.14,Sparse Data,0.14,498,180 - 499,498.00,0.20,Sparse Data,0.20,0.42,Sparse Data,0.42,0.00,Sparse Data,0.00,-0.08,Sparse Data,-0.08,-0.86,Sparse Data,-0.86,0.40,Sparse Data,0.40,-0.18,Sparse Data,-0.18,0.11,Sparse Data,0.11,42.0,30 - 49,42.00,1.78,Slight Increase,1.78,2.42,1 - 4,2.42,0.00,Sparse Data,0.00,12.24,5 - 14,12.24,29.15,20 - 39,29.15,0.31,Sparse Data,0.31,20.84,20 - 39,20.84,11.56,5 - 19,11.56,25.51,15 - 29,25.51,0.03,Less than 1,0.03,3.86,3 - 5,3.86,19.32,5 - 19,19.32,70.96,70 - 79,70.96,61.76,50 - 64,61.76,12.15,5 - 14,12.15,45.90,40 - 59,45.90,(D),1 - 4,,63.97,50 - 64,63.97,22.40,20 - 29,22.40,20.35,10 - 24,20.35,86.93,85 - 89,86.93,7.01,5 - 9,7.01,4.73,2 - 4,4.73,69.32,65 - 74,69.32
1049,01049,1939,"1,000 or more",1939.00,-0.17,Negligible Change,-0.17,128,50 - 179,128.00,0.16,Negligible Change,0.16,-0.22,Negligible Change,-0.22,-0.46,Negligible Change,-0.46,0.41,Negligible Change,0.41,-0.26,Sparse Data,-0.26,0.56,Sparse Data,0.56,1.34,Sparse Data,1.34,0.27,Sparse Data,0.27,49.7,30 - 49,49.70,2.00,Sparse Data,2.00,0.44,Less than 1,0.44,0.67,Negligible Change,0.67,18.40,15 - 29,18.40,36.98,20 - 39,36.98,0.46,Sparse Data,0.46,29.37,20 - 39,29.37,1.07,Less than 5,1.07,43.60,30 - 49,43.60,0.28,Less than 1,0.28,0.89,Less than 1,0.89,17.19,5 - 19,17.19,91.51,80 or more,91.51,43.56,35 - 49,43.56,40.82,30 - 59,40.82,13.65,10 - 19,13.65,1.01,1 - 4,1.01,90.03,90 or more,90.03,2.87,Less than 5,2.87,3.29,Less than 5,3.29,95.56,95 or more,95.56,2.11,Less than 5,2.11,2.17,2 - 4,2.17,75.76,75 - 84,75.76
1051,01051,538,500 - 749,538.00,-0.09,Sparse Data,-0.09,174,50 - 179,174.00,0.24,Negligible Change,0.24,-0.31,Negligible Change,-0.31,-0.06,Sparse Data,-0.06,-0.29,Sparse Data,-0.29,-0.86,Sparse Data,-0.86,1.09,Sparse Data,1.09,-0.41,Sparse Data,-0.41,0.13,Sparse Data,0.13,23.7,10 - 29,23.70,-0.28,Sparse Data,-0.28,2.74,1 - 4,2.74,0.41,Sparse Data,0.41,8.81,5 - 14,8.81,37.20,20 - 39,37.20,0.06,Sparse Data,0.06,29.19,20 - 39,29.19,9.40,5 - 19,9.40,31.22,30 - 49,31.22,0.00,Less than 1,0.00,0.90,Less than 1,0.90,23.73,20 - 34,23.73,80.64,80 or more,80.64,60.48,50 - 64,60.48,5.07,5 - 14,5.07,52.11,40 - 59,52.11,12.65,5 - 14,12.65,75.87,75 - 89,75.87,24.44,20 - 29,24.44,(D),5 - 9,,87.73,85 - 89,87.73,8.36,5 - 9,8.36,2.04,2 - 4,2.04,74.35,65 - 74,74.35
1053,01053,437,250 - 499,437.00,-0.13,Sparse Data,-0.13,242,180 - 499,242.00,0.21,Negligible Change,0.21,-0.25,Sparse Data,-0.25,-0.14,Sparse Data,-0.14,-0.73,Sparse Data,-0.73,-0.77,Sparse Data,-0.77,0.68,Sparse Data,0.68,-0.62,Sparse Data,-0.62,-0.05,Sparse Data,-0.05,17.5,10 - 29,17.50,1.93,Sparse Data,1.93,2.95,1 - 4,2.95,0.43,Sparse Data,0.43,9.15,5 - 14,9.15,52.32,40 - 59,52.32,0.29,Sparse Data,0.29,43.89,40 - 59,43.89,6.72,5 - 19,6.72,15.76,15 - 29,15.76,0.00,Less than 1,0.00,4.03,3 - 5,4.03,41.16,35 - 49,41.16,78.10,70 - 79,78.10,67.64,65 - 74,67.64,3.92,Less than 5,3.92,65.45,60 or more,65.45,19.78,15 - 24,19.78,74.02,65 - 74,74.02,21.85,20 - 29,21.85,39.53,25 - 39,39.53,88.10,85 - 89,88.10,5.03,5 - 9,5.03,3.66,2 - 4,3.66,72.54,65 - 74,72.54
1055,01055,817,750 - 999,817.00,-0.15,Sparse Data,-0.15,109,50 - 179,109.00,0.29,Negligible Change,0.29,-0.18,Negligible Change,-0.18,-0.50,Negligible Change,-0.50,-0.85,Negligible Change,-0.85,0.67,Sparse Data,0.67,-0.90,Sparse Data,-0.90,2.85,Sparse Data,2.85,0.13,Sparse Data,0.13,26.1,10 - 29,26.10,2.47,Sparse Data,2.47,0.70,Less than 1,0.70,0.68,Sparse Data,0.68,7.23,5 - 14,7.23,27.70,20 - 39,27.70,0.19,Sparse Data,0.19,20.49,20 - 39,20.49,2.68,Less than 5,2.68,41.72,30 - 49,41.72,0.35,Less than 1,0.35,2.57,1 - 2,2.57,9.51,5 - 19,9.51,88.47,80 or more,88.47,37.05,35 - 49,37.05,31.33,30 - 59,31.33,20.56,20 - 29,20.56,5.67,5 - 14,5.67,78.39,75 - 89,78.39,4.85,Less than 5,4.85,4.32,Less than 5,4.32,93.51,90 - 94,93.51,3.92,Less than 5,3.92,1.96,Less than 2,1.96,73.81,65 - 74,73.81
1057,01057,324,250 - 499,324.00,-0.94,Negligible Change,-0.94,211,180 - 499,211.00,-0.45,Sparse Data,-0.45,0.03,Sparse Data,0.03,-1.76,Slight Decrease,-1.76,-0.20,Sparse Data,-0.20,-0.16,Sparse Data,-0.16,-0.12,Sparse Data,-0.12,-1.29,Sparse Data,-1.29,-0.64,Sparse Data,-0.64,17.0,10 - 29,17.00,(D),Sparse Data,,0.25,Less than 1,0.25,-0.85,Sparse Data,-0.85,5.22,5 - 14,5.22,30.71,20 - 39,30.71,-0.83,Sparse Data,-0.83,24.53,20 - 39,24.53,0.90,Less than 5,0.90,26.07,15 - 29,26.07,0.11,Less than 1,0.11,3.06,3 - 5,3.06,12.03,5 - 19,12.03,84.85,80 or more,84.85,59.20,50 - 64,59.20,16.23,15 - 29,16.23,24.26,20 - 29,24.26,(D),Less than 1,,64.90,50 - 64,64.90,20.47,20 - 29,20.47,0.08,Less than 5,0.08,90.74,90 - 94,90.74,7.10,5 - 9,7.10,1.85,Less than 2,1.85,75.93,75 - 84,75.93
1059,01059,729,500 - 749,729.00,-0.45,Negligible Change,-0.45,178,50 - 179,178.00,0.34,Negligible Change,0.34,-0.62,Negligible Change,-0.62,-0.44,Negligible Change,-0.44,-0.24,Sparse Data,-0.24,-0.52,Sparse Data,-0.52,-0.22,Sparse Data,-0.22,1.05,Sparse Data,1.05,-0.55,Sparse Data,-0.55,31.9,30 - 49,31.90,(D),Sparse Data,,(D),Less than 1,,-0.23,Sparse Data,-0.23,7.99,5 - 14,7.99,25.02,20 - 39,25.02,-0.32,Sparse Data,-0.32,19.52,10 - 19,19.52,(D),Less than 5,,47.82,30 - 49,47.82,(D),Less than 1,,1.29,1 - 2,1.29,8.90,5 - 19,8.90,88.86,80 or more,88.86,33.20,20 - 34,33.20,41.71,30 - 59,41.71,13.81,10 - 19,13.81,(D),Less than 1,,90.85,90 or more,90.85,13.23,10 - 19,13.23,0.06,Less than 5,0.06,92.32,90 - 94,92.32,4.94,Less than 5,4.94,2.19,2 - 4,2.19,65.84,65 - 74,65.84
1061,01061,820,750 - 999,820.00,-0.81,Negligible Change,-0.81,224,180 - 499,224.00,0.00,Sparse Data,0.00,-0.40,Negligible Change,-0.40,-0.80,Negligible Change,-0.80,-0.64,Negligible Change,-0.64,-1.18,Slight Decrease,-1.18,0.48,Sparse Data,0.48,-0.55,Sparse Data,-0.55,-0.66,Negligible Change,-0.66,49.9,30 - 49,49.90,1.17,Slight Increase,1.17,3.02,1 - 4,3.02,-0.40,Sparse Data,-0.40,22.22,15 - 29,22.22,44.56,40 - 59,44.56,-0.24,Sparse Data,-0.24,33.82,20 - 39,33.82,8.25,5 - 19,8.25,21.09,15 - 29,21.09,1.10,1 - 4,1.10,7.18,6 - 8,7.18,26.03,20 - 34,26.03,75.85,70 - 79,75.85,62.16,50 - 64,62.16,16.06,15 - 29,16.06,40.39,40 - 59,40.39,4.28,1 - 4,4.28,54.39,50 - 64,54.39,21.98,20 - 29,21.98,10.68,10 - 24,10.68,86.83,85 - 89,86.83,5.24,5 - 9,5.24,7.07,5 - 9,7.07,71.83,65 - 74,71.83
1063,01063,325,250 - 499,325.00,0.22,Sparse Data,0.22,472,180 - 499,472.00,-0.05,Sparse Data,-0.05,0.10,Sparse Data,0.10,0.49,Sparse Data,0.49,-1.50,Sparse Data,-1.50,0.04,Sparse Data,0.04,0.65,Sparse Data,0.65,0.60,Sparse Data,0.60,0.81,Negligible Change,0.81,37.0,30 - 49,37.00,-1.66,Sparse Data,-1.66,0.04,Less than 1,0.04,-0.20,Sparse Data,-0.20,4.93,Less than 5,4.93,13.32,10 - 19,13.32,0.30,Sparse Data,0.30,7.67,Less than 10,7.67,(D),Less than 5,,29.89,15 - 29,29.89,(D),Less than 1,,5.31,3 - 5,5.31,2.68,Less than 5,2.68,32.95,Less than 40,32.95,11.83,Less than 20,11.83,3.82,Less than 5,3.82,10.65,10 - 19,10.65,0.00,Less than 1,0.00,25.64,Less than 30,25.64,(D),Less than 5,,(D),Less than 5,,81.85,75 - 84,81.85,11.08,10 - 14,11.08,6.46,5 - 9,6.46,67.69,65 - 74,67.69
1065,01065,393,250 - 499,393.00,-0.55,Negligible Change,-0.55,402,180 - 499,402.00,-0.42,Sparse Data,-0.42,-0.05,Sparse Data,-0.05,-0.73,Negligible Change,-0.73,-1.10,Slight Decrease,-1.10,0.52,Sparse Data,0.52,-0.19,Sparse Data,-0.19,0.29,Sparse Data,0.29,-0.06,Sparse Data,-0.06,38.3,30 - 49,38.30,(D),Sparse Data,,0.71,Less than 1,0.71,-1.14,Sparse Data,-1.14,5.03,5 - 14,5.03,13.14,10 - 19,13.14,-0.39,Sparse Data,-0.39,9.82,Less than 10,9.82,(D),5 - 19,,45.58,30 - 49,45.58,(D),Less than 1,,1.83,1 - 2,1.83,12.33,5 - 19,12.33,91.31,80 or more,91.31,29.99,20 - 34,29.99,5.56,5 - 14,5.56,22.63,20 - 29,22.63,(D),Less than 1,,120.88,90 or more,120.88,0.00,Less than 5,0.00,(D),Less than 5,,84.48,75 - 84,84.48,6.62,5 - 9,6.62,8.14,5 - 9,8.14,66.67,65 - 74,66.67
1067,01067,455,250 - 499,455.00,-0.32,Sparse Data,-0.32,382,180 - 499,382.00,0.42,Negligible Change,0.42,0.03,Sparse Data,0.03,-1.32,Slight Decrease,-1.32,-0.45,Sparse Data,-0.45,0.25,Sparse Data,0.25,0.10,Sparse Data,0.10,0.45,Sparse Data,0.45,0.09,Sparse Data,0.09,48.4,30 - 49,48.40,0.76,Negligible Change,0.76,7.36,5 - 9,7.36,0.05,Sparse Data,0.05,20.63,15 - 29,20.63,42.64,40 - 59,42.64,-0.37,Sparse Data,-0.37,31.30,20 - 39,31.30,(D),20 - 39,,21.07,15 - 29,21.07,(D),Less than 1,,4.45,3 - 5,4.45,27.18,20 - 34,27.18,74.13,70 - 79,74.13,66.04,65 - 74,66.04,9.07,5 - 14,9.07,53.57,40 - 59,53.57,6.50,5 - 14,6.50,65.45,65 - 74,65.45,19.25,10 - 19,19.25,28.04,25 - 39,28.04,80.44,75 - 84,80.44,10.77,10 - 14,10.77,8.13,5 - 9,8.13,76.26,75 - 84,76.26
1069,01069,698,500 - 749,698.00,-0.57,Negligible Change,-0.57,213,180 - 499,213.00,0.17,Negligible Change,0.17,-0.33,Negligible Change,-0.33,-1.07,Slight Decrease,-1.07,-0.11,Sparse Data,-0.11,-0.32,Sparse Data,-0.32,-0.84,Sparse Data,-0.84,0.17,Sparse Data,0.17,-1.09,Slight Decrease,-1.09,40.0,30 - 49,40.00,0.15,Sparse Data,0.15,6.72,5 - 9,6.72,-0.38,Sparse Data,-0.38,23.16,15 - 29,23.16,57.86,40 - 59,57.86,-0.58,Negligible Change,-0.58,47.69,40 - 59,47.69,13.35,5 - 19,13.35,19.68,15 - 29,19.68,1.78,1 - 4,1.78,4.65,3 - 5,4.65,35.67,35 - 49,35.67,84.14,80 or more,84.14,71.95,65 - 74,71.95,3.94,Less than 5,3.94,65.27,60 or more,65.27,10.37,5 - 14,10.37,74.01,65 - 74,74.01,22.56,20 - 29,22.56,32.12,25 - 39,32.12,89.83,85 - 89,89.83,4.01,Less than 5,4.01,4.01,2 - 4,4.01,71.78,65 - 74,71.78
1071,01071,1355,"1,000 or more",1355.00,-0.05,Sparse Data,-0.05,161,50 - 179,161.00,0.14,Negligible Change,0.14,0.15,Negligible Change,0.15,-0.23,Negligible Change,-0.23,-0.45,Negligible Change,-0.45,-0.06,Sparse Data,-0.06,-0.27,Sparse Data,-0.27,0.56,Sparse Data,0.56,-0.21,Sparse Data,-0.21,31.7,30 - 49,31.70,1.77,Sparse Data,1.77,0.64,Less than 1,0.64,0.20,Sparse Data,0.20,13.84,5 - 14,13.84,43.69,40 - 59,43.69,0.18,Sparse Data,0.18,37.02,20 - 39,37.02,1.60,Less than 5,1.60,30.63,30 - 49,30.63,0.16,Less than 1,0.16,1.55,1 - 2,1.55,27.67,20 - 34,27.67,74.92,70 - 79,74.92,53.66,50 - 64,53.66,17.60,15 - 29,17.60,30.42,30 - 39,30.42,0.29,Less than 1,0.29,82.15,75 - 89,82.15,4.05,Less than 5,4.05,10.41,10 - 24,10.41,92.03,90 - 94,92.03,4.87,Less than 5,4.87,1.85,Less than 2,1.85,72.55,65 - 74,72.55
1073,01073,387,250 - 499,387.00,-0.06,Sparse Data,-0.06,98,50 - 179,98.00,0.07,Sparse Data,0.07,0.00,Sparse Data,0.00,-0.37,Sparse Data,-0.37,0.19,Sparse Data,0.19,-1.62,Sparse Data,-1.62,-0.90,Sparse Data,-0.90,1.05,Sparse Data,1.05,-0.10,Sparse Data,-0.10,5.3,Less than 10,5.30,-0.33,Sparse Data,-0.33,0.43,Less than 1,0.43,-0.81,Sparse Data,-0.81,0.98,Less than 5,0.98,18.43,10 - 19,18.43,-0.42,Sparse Data,-0.42,15.12,10 - 19,15.12,0.96,Less than 5,0.96,26.80,15 - 29,26.80,1.06,1 - 4,1.06,0.50,Less than 1,0.50,0.00,Less than 5,0.00,68.73,60 - 69,68.73,32.09,20 - 34,32.09,5.65,5 - 14,5.65,13.27,10 - 19,13.27,0.00,Less than 1,0.00,35.43,30 - 49,35.43,(D),Less than 5,,0.43,Less than 5,0.43,94.06,90 - 94,94.06,2.33,Less than 5,2.33,1.81,Less than 2,1.81,80.10,75 - 84,80.10
1075,01075,269,250 - 499,269.00,-1.05,Slight Decrease,-1.05,274,180 - 499,274.00,-0.34,Sparse Data,-0.34,-0.90,Negligible Change,-0.90,-0.48,Sparse Data,-0.48,-1.01,Sparse Data,-1.01,-0.52,Sparse Data,-0.52,-1.04,Sparse Data,-1.04,0.00,Sparse Data,0.00,-0.41,Sparse Data,-0.41,19.0,10 - 29,19.00,(D),Sparse Data,,0.41,Less than 1,0.41,-0.44,Sparse Data,-0.44,3.10,Less than 5,3.10,16.31,10 - 19,16.31,-0.10,Sparse Data,-0.10,12.41,10 - 19,12.41,3.34,Less than 5,3.34,21.34,15 - 29,21.34,0.00,Less than 1,0.00,1.62,1 - 2,1.62,4.87,Less than 5,4.87,60.46,60 - 69,60.46,38.74,35 - 49,38.74,19.07,15 - 29,19.07,26.20,20 - 29,26.20,(D),Less than 1,,55.41,50 - 64,55.41,(D),10 - 19,,(D),10 - 24,,95.91,95 or more,95.91,1.12,Less than 5,1.12,2.60,2 - 4,2.60,68.40,65 - 74,68.40
1077,01077,1309,"1,000 or more",1309.00,-0.41,Negligible Change,-0.41,161,50 - 179,161.00,0.21,Negligible Change,0.21,-0.37,Negligible Change,-0.37,-0.54,Negligible Change,-0.54,-0.59,Negligible Change,-0.59,-0.46,Sparse Data,-0.46,0.41,Sparse Data,0.41,0.60,Sparse Data,0.60,-0.02,Sparse Data,-0.02,49.2,30 - 49,49.20,1.42,Sparse Data,1.42,0.41,Less than 1,0.41,0.25,Sparse Data,0.25,25.48,15 - 29,25.48,51.76,40 - 59,51.76,0.01,Sparse Data,0.01,41.24,40 - 59,41.24,0.78,Less than 5,0.78,30.32,30 - 49,30.32,0.27,Less than 1,0.27,2.64,1 - 2,2.64,32.24,20 - 34,32.24,84.27,80 or more,84.27,61.20,50 - 64,61.20,6.84,5 - 14,6.84,49.55,40 - 59,49.55,6.91,5 - 14,6.91,81.67,75 - 89,81.67,25.47,20 - 29,25.47,13.67,10 - 24,13.67,91.60,90 - 94,91.60,4.74,Less than 5,4.74,2.98,2 - 4,2.98,69.37,65 - 74,69.37
1079,01079,1252,"1,000 or more",1252.00,-0.81,Negligible Change,-0.81,171,50 - 179,171.00,0.06,Sparse Data,0.06,-0.31,Negligible Change,-0.31,-1.12,Slight Decrease,-1.12,-1.09,Slight Decrease,-1.09,0.00,Sparse Data,0.00,0.00,Sparse Data,0.00,-0.15,Sparse Data,-0.15,-0.49,Negligible Change,-0.49,48.4,30 - 49,48.40,0.51,Sparse Data,0.51,2.98,1 - 4,2.98,0.15,Sparse Data,0.15,27.33,15 - 29,27.33,56.51,40 - 59,56.51,0.38,Negligible Change,0.38,50.78,40 - 59,50.78,(D),5 - 19,,30.76,30 - 49,30.76,(D),Less than 1,,4.47,3 - 5,4.47,41.11,35 - 49,41.11,82.77,80 or more,82.77,62.79,50 - 64,62.79,24.19,15 - 29,24.19,56.51,40 - 59,56.51,14.71,5 - 14,14.71,84.98,75 - 89,84.98,21.03,20 - 29,21.03,12.92,10 - 24,12.92,93.69,90 - 94,93.69,3.75,Less than 5,3.75,2.08,2 - 4,2.08,69.97,65 - 74,69.97
1081,01081,314,250 - 499,314.00,-0.01,Sparse Data,-0.01,216,180 - 499,216.00,0.26,Negligible Change,0.26,0.45,Sparse Data,0.45,-0.75,Sparse Data,-0.75,-1.13,Slight Decrease,-1.13,0.18,Sparse Data,0.18,0.65,Sparse Data,0.65,2.42,Sparse Data,2.42,0.48,Sparse Data,0.48,17.4,10 - 29,17.40,-1.58,Sparse Data,-1.58,0.27,Less than 1,0.27,-0.94,Sparse Data,-0.94,2.31,Less than 5,2.31,13.25,10 - 19,13.25,-0.89,Sparse Data,-0.89,9.38,Less than 10,9.38,2.88,Less than 5,2.88,33.58,30 - 49,33.58,0.00,Less than 1,0.00,1.13,1 - 2,1.13,5.74,5 - 19,5.74,96.16,80 or more,96.16,50.51,50 - 64,50.51,7.39,5 - 14,7.39,22.40,20 - 29,22.40,(D),1 - 4,,73.91,65 - 74,73.91,6.76,5 - 9,6.76,0.46,Less than 5,0.46,82.48,75 - 84,82.48,6.05,5 - 9,6.05,7.64,5 - 9,7.64,79.94,75 - 84,79.94
1083,01083,1156,"1,000 or more",1156.00,-0.22,Negligible Change,-0.22,194,180 - 499,194.00,0.31,Negligible Change,0.31,0.18,Negligible Change,0.18,-1.21,Slight Decrease,-1.21,-0.55,Negligible Change,-0.55,-0.40,Sparse Data,-0.40,0.07,Sparse Data,0.07,0.00,Sparse Data,0.00,-0.34,Sparse Data,-0.34,62.7,50 - 69,62.70,-0.36,Negligible Change,-0.36,4.64,1 - 4,4.64,0.10,Sparse Data,0.10,42.17,30 - 49,42.17,67.21,60 - 79,67.21,0.03,Sparse Data,0.03,60.34,60 - 79,60.34,7.67,5 - 19,7.67,21.35,15 - 29,21.35,0.08,Less than 1,0.08,0.90,Less than 1,0.90,52.39,50 - 64,52.39,67.59,60 - 69,67.59,61.06,50 - 64,61.06,10.31,5 - 14,10.31,58.73,40 - 59,58.73,5.47,5 - 14,5.47,85.76,75 - 89,85.76,15.78,10 - 19,15.78,22.58,10 - 24,22.58,87.28,85 - 89,87.28,6.83,5 - 9,6.83,4.24,2 - 4,4.24,75.26,75 - 84,75.26
1085,01085,512,500 - 749,512.00,0.48,Negligible Change,0.48,396,180 - 499,396.00,0.28,Negligible Change,0.28,0.87,Negligible Change,0.87,-0.70,Negligible Change,-0.70,0.43,Sparse Data,0.43,0.20,Sparse Data,0.20,0.12,Sparse Data,0.12,-0.71,Sparse Data,-0.71,-0.26,Sparse Data,-0.26,44.3,30 - 49,44.30,0.83,Sparse Data,0.83,3.05,1 - 4,3.05,0.43,Sparse Data,0.43,10.14,5 - 14,10.14,22.90,20 - 39,22.90,0.26,Sparse Data,0.26,16.98,10 - 19,16.98,13.02,5 - 19,13.02,52.96,50 - 69,52.96,1.59,1 - 4,1.59,2.38,1 - 2,2.38,7.36,5 - 19,7.36,71.35,70 - 79,71.35,40.07,35 - 49,40.07,17.82,15 - 29,17.82,30.11,30 - 39,30.11,1.29,1 - 4,1.29,77.40,75 - 89,77.40,(D),5 - 9,,6.39,5 - 9,6.39,90.04,90 - 94,90.04,6.84,5 - 9,6.84,2.73,2 - 4,2.73,60.35,55 - 64,60.35
1087,01087,373,250 - 499,373.00,0.19,Sparse Data,0.19,322,180 - 499,322.00,0.34,Sparse Data,0.34,-0.14,Sparse Data,-0.14,0.05,Sparse Data,0.05,0.17,Sparse Data,0.17,0.04,Sparse Data,0.04,0.34,Sparse Data,0.34,0.73,Sparse Data,0.73,0.52,Sparse Data,0.52,30.8,30 - 49,30.80,0.56,Sparse Data,0.56,2.15,1 - 4,2.15,1.74,Slight Increase,1.74,10.47,5 - 14,10.47,33.95,20 - 39,33.95,1.80,Slight Increase,1.80,21.88,20 - 39,21.88,(D),5 - 19,,26.60,15 - 29,26.60,(D),Less than 1,,3.70,3 - 5,3.70,14.29,5 - 19,14.29,67.37,60 - 69,67.37,61.04,50 - 64,61.04,8.21,5 - 14,8.21,37.26,30 - 39,37.26,(D),1 - 4,,60.80,50 - 64,60.80,28.51,20 - 29,28.51,3.29,Less than 5,3.29,86.60,85 - 89,86.60,6.70,5 - 9,6.70,5.09,5 - 9,5.09,66.76,65 - 74,66.76
1089,01089,1021,"1,000 or more",1021.00,-0.04,Sparse Data,-0.04,181,180 - 499,181.00,0.27,Negligible Change,0.27,0.05,Sparse Data,0.05,-0.78,Negligible Change,-0.78,-0.46,Sparse Data,-0.46,0.00,Sparse Data,0.00,0.46,Sparse Data,0.46,-0.96,Sparse Data,-0.96,-0.46,Sparse Data,-0.46,36.0,30 - 49,36.00,1.22,Slight Increase,1.22,5.77,5 - 9,5.77,0.14,Sparse Data,0.14,25.64,15 - 29,25.64,71.13,60 - 79,71.13,0.19,Sparse Data,0.19,65.11,60 - 79,65.11,8.46,5 - 19,8.46,15.46,15 - 29,15.46,1.66,1 - 4,1.66,0.72,Less than 1,0.72,50.74,50 - 64,50.74,76.39,70 - 79,76.39,70.03,65 - 74,70.03,1.98,Less than 5,1.98,69.57,60 or more,69.57,7.71,5 - 14,7.71,89.09,75 - 89,89.09,22.90,20 - 29,22.90,22.83,10 - 24,22.83,87.46,85 - 89,87.46,7.64,5 - 9,7.64,3.62,2 - 4,3.62,77.67,75 - 84,77.67
1091,01091,471,250 - 499,471.00,-0.20,Sparse Data,-0.20,313,180 - 499,313.00,0.31,Negligible Change,0.31,-0.18,Sparse Data,-0.18,-0.68,Negligible Change,-0.68,0.21,Sparse Data,0.21,-0.03,Sparse Data,-0.03,-0.71,Sparse Data,-0.71,-0.18,Sparse Data,-0.18,-0.42,Sparse Data,-0.42,23.6,10 - 29,23.60,1.11,Sparse Data,1.11,0.53,Less than 1,0.53,-0.48,Sparse Data,-0.48,4.49,Less than 5,4.49,19.03,10 - 19,19.03,-0.19,Sparse Data,-0.19,13.50,10 - 19,13.50,(D),Less than 5,,38.37,30 - 49,38.37,(D),Less than 1,,2.77,1 - 2,2.77,5.86,5 - 19,5.86,68.23,60 - 69,68.23,32.87,20 - 34,32.87,1.98,Less than 5,1.98,3.78,Less than 10,3.78,(D),1 - 4,,49.43,30 - 49,49.43,3.88,Less than 5,3.88,(D),Less than 5,,87.69,85 - 89,87.69,6.37,5 - 9,6.37,4.88,2 - 4,4.88,68.37,65 - 74,68.37
1093,01093,582,500 - 749,582.00,-0.77,Negligible Change,-0.77,142,50 - 179,142.00,0.40,Negligible Change,0.40,-1.08,Slight Decrease,-1.08,-0.50,Negligible Change,-0.50,-0.54,Negligible Change,-0.54,-0.24,Sparse Data,-0.24,-1.16,Sparse Data,-1.16,-1.75,Sparse Data,-1.75,-1.21,Slight Decrease,-1.21,17.4,10 - 29,17.40,(D),Sparse Data,,(D),Less than 1,,-0.21,Sparse Data,-0.21,4.27,Less than 5,4.27,24.59,20 - 39,24.59,0.41,Sparse Data,0.41,18.23,10 - 19,18.23,0.00,Less than 5,0.00,41.87,30 - 49,41.87,(D),Less than 1,,1.96,1 - 2,1.96,4.08,Less than 5,4.08,81.35,80 or more,81.35,36.73,35 - 49,36.73,40.15,30 - 59,40.15,22.08,20 - 29,22.08,(D),1 - 4,,85.99,75 - 89,85.99,(D),Less than 5,,(D),Less than 5,,94.67,90 - 94,94.67,3.44,Less than 5,3.44,1.55,Less than 2,1.55,69.93,65 - 74,69.93
